/* DATA DESCRIPTION:
Citation:	Nicolaus, Marcel (2025): Master tracks in different resolutions of POLARSTERN cruise PS149, Tromsø - Longyearbyen, 2025-07-02 - 2025-09-01 [dataset]. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.987133
Abstract:	Raw data acquired by position sensors on board RV Polarstern during expedition PS149 was processed to receive a validated master track which can be used as reference of further expedition data. During PS149 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.
Other version:	Generalized master track of POLARSTERN cruise PS149 (URI: https://download.pangaea.de/reference/135886/attachments/PS149_mastertrack_generalized.zip)
	Nicolaus, Marcel (2025): Master track of POLARSTERN cruise PS149 in 1 sec resolution (zipped, 221 MB) [dataset]. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.987132
Data processing report:	Processing report for navigation sensors from POLARSTERN cruise PS149 (URI: https://download.pangaea.de/reference/135888/attachments/PS149_nav.pdf)
Further details:	Station list of POLARSTERN cruise PS149 (URI: https://www.pangaea.de/expeditions/events/PS149)
	Trackline map of navigation sensors from POLARSTERN cruise PS149 (URI: https://download.pangaea.de/reference/135889/attachments/PS149_nav.png)
Coverage:	MEDIAN LATITUDE: 83.024700 * MEDIAN LONGITUDE: 9.752738 * SOUTH-BOUND LATITUDE: 69.747311 * WEST-BOUND LONGITUDE: -18.001448 * NORTH-BOUND LATITUDE: 85.034744 * EAST-BOUND LONGITUDE: 34.157959
	DATE/TIME START: 2025-07-02T07:20:00 * DATE/TIME END: 2025-09-01T04:59:59
Event(s):	PS149-track * LATITUDE START: 69.747315 * LONGITUDE START: 19.142442 * LATITUDE END: 78.185573 * LONGITUDE END: 14.255669 * DATE/TIME START: 2025-07-02T07:00:00 * DATE/TIME END: 2025-09-01T04:59:59 * CAMPAIGN: PS149 (CONTRASTS; ArcWatch 3) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Underway cruise track measurements (CT) * COMMENT: Tromsø - Longyearbyen
Comment:	This dataset contains the master track in 10 min resolution, for other resolutions please see "Other version" references.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE
	LATITUDE (Latitude) * GEOCODE
	LONGITUDE (Longitude) * GEOCODE
	Speed [kn] (Speed) * METHOD/DEVICE: Calculated * COMMENT: 10-min average
	Course [deg] (Course) * METHOD/DEVICE: Calculated * COMMENT: 10-min average
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	17542 data points
*/
Date/Time	Latitude	Longitude	Speed [kn]	Course [deg]
2025-07-02T07:20	69.74731	19.14243	0.001	237.3
2025-07-02T07:30	69.74731	19.14244	0.001	60.0
2025-07-02T07:40	69.74732	19.14244	0.001	46.1
2025-07-02T07:50	69.74732	19.14245	0.001	90.0
2025-07-02T08:00	69.74732	19.14245	0.001	40.9
2025-07-02T08:10	69.74732	19.14246	0.000	19.1
2025-07-02T08:20	69.74732	19.14245	0.000	340.9
2025-07-02T08:30	69.74732	19.14245	0.001	247.6
2025-07-02T08:40	69.74732	19.14245	0.001	90.0
2025-07-02T08:50	69.74732	19.14245	0.000	90.0
2025-07-02T09:00	69.74732	19.14246	0.001	133.9
2025-07-02T09:10	69.74732	19.14246	0.001	180.0
2025-07-02T09:20	69.74731	19.14246	0.000	180.0
2025-07-02T09:30	69.74731	19.14246	0.000	180.0
2025-07-02T09:40	69.74731	19.14246	0.001	170.2
2025-07-02T09:50	69.74731	19.14246	0.001	46.1
2025-07-02T10:00	69.74731	19.14246	0.001	234.2
2025-07-02T10:10	69.74731	19.14246	0.000	270.0
2025-07-02T10:20	69.74731	19.14246	0.001	64.3
2025-07-02T10:30	69.74731	19.14247	0.001	60.0
2025-07-02T10:40	69.74731	19.14247	0.001	120.0
2025-07-02T10:50	69.74731	19.14247	0.000	90.0
2025-07-02T11:00	69.74731	19.14247	0.001	305.8
2025-07-02T11:10	69.74731	19.14247	0.001	313.9
2025-07-02T11:20	69.74731	19.14246	0.001	240.0
2025-07-02T11:30	69.74731	19.14245	0.001	295.7
2025-07-02T11:40	69.74732	19.14245	0.000	325.3
2025-07-02T11:50	69.74732	19.14245	0.000	270.0
2025-07-02T12:00	69.74732	19.14245	0.000	270.0
2025-07-02T12:10	69.74732	19.14245	0.000	19.1
2025-07-02T12:20	69.74732	19.14245	0.000	19.1
2025-07-02T12:30	69.74732	19.14245	0.001	189.8
2025-07-02T12:40	69.74732	19.14245	0.000	270.0
2025-07-02T12:50	69.74732	19.14245	0.001	9.8
2025-07-02T13:00	69.74732	19.14245	0.001	0.0
2025-07-02T13:10	69.74732	19.14245	0.001	189.8
2025-07-02T13:20	69.74732	19.14245	0.000	199.1
2025-07-02T13:30	69.74732	19.14245	0.000	199.1
2025-07-02T13:40	69.74732	19.14245	0.000	90.0
2025-07-02T13:50	69.74732	19.14245	0.000	90.0
2025-07-02T14:00	69.74732	19.14245	0.000	90.0
2025-07-02T14:10	69.74732	19.14245	0.000	34.7
2025-07-02T14:20	69.74732	19.14245	0.000	270.0
2025-07-02T14:30	69.74732	19.14245	0.000	214.7
2025-07-02T14:40	69.74731	19.14245	0.000	145.3
2025-07-02T14:50	69.74732	19.14246	0.001	54.2
2025-07-02T15:00	69.74732	19.14246	0.000	270.0
2025-07-02T15:10	69.74732	19.14246	0.001	350.2
2025-07-02T15:20	69.74732	19.14245	0.001	295.7
2025-07-02T15:30	69.74732	19.14245	0.000	270.0
2025-07-02T15:40	69.74732	19.14244	0.001	226.1
2025-07-02T15:50	69.74732	19.14245	0.001	50.5
2025-07-02T16:00	69.74732	19.14245	0.001	204.8
2025-07-02T16:10	69.74732	19.14245	0.001	152.5
2025-07-02T16:20	69.74738	19.14261	0.030	40.4
2025-07-02T16:30	69.75232	19.14642	1.846	15.0
2025-07-02T16:40	69.78234	19.20870	13.352	35.6
2025-07-02T16:50	69.79351	19.32854	15.503	74.8
2025-07-02T17:00	69.80526	19.44663	15.340	73.9
2025-07-02T17:10	69.82036	19.56190	15.380	69.2
2025-07-02T17:20	69.83554	19.67741	15.409	69.1
2025-07-02T17:30	69.85879	19.77348	14.620	54.9
2025-07-02T17:40	69.89246	19.83940	14.667	34.0
2025-07-02T17:50	69.92628	19.90474	14.666	33.6
2025-07-02T18:00	69.95977	19.97053	14.592	34.0
2025-07-02T18:10	69.99311	20.03848	14.690	34.9
2025-07-02T18:20	70.02612	20.10634	14.579	35.1
2025-07-02T18:30	70.05571	20.16024	12.590	31.9
2025-07-02T18:40	70.08095	20.20306	10.534	30.0
2025-07-02T18:50	70.11183	20.24680	12.387	25.7
2025-07-02T19:00	70.14518	20.28275	12.833	20.1
2025-07-02T19:10	70.17898	20.31529	12.846	18.1
2025-07-02T19:20	70.21336	20.34055	12.800	14.0
2025-07-02T19:30	70.24675	20.36307	12.373	12.8
2025-07-02T19:40	70.27953	20.36635	11.848	1.9
2025-07-02T19:50	70.31258	20.36133	11.954	357.1
2025-07-02T20:00	70.34775	20.35566	12.724	356.9
2025-07-02T20:10	70.38295	20.35027	12.731	357.1
2025-07-02T20:20	70.41637	20.31077	12.990	338.4
2025-07-02T20:30	70.45012	20.26516	13.386	335.6
2025-07-02T20:40	70.48247	20.22136	12.830	335.6
2025-07-02T20:50	70.51450	20.17881	12.658	336.1
2025-07-02T21:00	70.54620	20.13574	12.573	335.6
2025-07-02T21:10	70.57762	20.09424	12.401	336.3
2025-07-02T21:20	70.60863	20.05160	12.319	335.4
2025-07-02T21:30	70.63961	20.00981	12.262	335.9
2025-07-02T21:40	70.67169	19.97621	12.268	340.9
2025-07-02T21:50	70.70352	19.94409	12.125	341.6
2025-07-02T22:00	70.73574	19.91107	12.289	341.3
2025-07-02T22:10	70.76817	19.87817	12.355	341.5
2025-07-02T22:20	70.80121	19.84491	12.574	341.7
2025-07-02T22:30	70.83429	19.81092	12.617	341.4
2025-07-02T22:40	70.86700	19.77766	12.456	341.6
2025-07-02T22:50	70.89933	19.74432	12.328	341.3
2025-07-02T23:00	70.93181	19.71099	12.380	341.5
2025-07-02T23:10	70.96430	19.67809	12.364	341.7
2025-07-02T23:20	70.99678	19.64476	12.372	341.5
2025-07-02T23:30	71.02945	19.61047	12.475	341.1
2025-07-02T23:40	71.06241	19.57692	12.543	341.7
2025-07-02T23:50	71.09548	19.54228	12.619	341.2
2025-07-03T00:00	71.12841	19.50858	12.533	341.7
2025-07-03T00:10	71.16168	19.47430	12.670	341.6
2025-07-03T00:20	71.19478	19.43974	12.618	341.4
2025-07-03T00:30	71.22798	19.40534	12.647	341.6
2025-07-03T00:40	71.26141	19.37064	12.735	341.6
2025-07-03T00:50	71.29312	19.33731	12.090	341.4
2025-07-03T01:00	71.32516	19.30375	12.213	341.4
2025-07-03T01:10	71.35783	19.26956	12.447	341.5
2025-07-03T01:20	71.39023	19.23572	12.339	341.6
2025-07-03T01:30	71.42232	19.20183	12.236	341.4
2025-07-03T01:40	71.45462	19.16776	12.312	341.4
2025-07-03T01:50	71.48656	19.13373	12.181	341.3
2025-07-03T02:00	71.51885	19.09998	12.292	341.7
2025-07-03T02:10	71.55121	19.06590	12.327	341.6
2025-07-03T02:20	71.58342	19.03179	12.274	341.5
2025-07-03T02:30	71.61563	18.99779	12.266	341.6
2025-07-03T02:40	71.64765	18.96341	12.214	341.3
2025-07-03T02:50	71.67980	18.92927	12.249	341.5
2025-07-03T03:00	71.71258	18.89443	12.486	341.6
2025-07-03T03:10	71.74508	18.85961	12.387	341.4
2025-07-03T03:20	71.77739	18.82497	12.314	341.5
2025-07-03T03:30	71.80952	18.79080	12.235	341.6
2025-07-03T03:40	71.84150	18.75595	12.206	341.2
2025-07-03T03:50	71.87379	18.72159	12.289	341.7
2025-07-03T04:00	71.90621	18.68630	12.366	341.3
2025-07-03T04:10	71.93885	18.65125	12.433	341.6
2025-07-03T04:20	71.97169	18.61554	12.522	341.4
2025-07-03T04:30	72.00436	18.58068	12.430	341.8
2025-07-03T04:40	72.03656	18.54560	12.274	341.4
2025-07-03T04:50	72.06888	18.51025	12.324	341.4
2025-07-03T05:00	72.10146	18.47478	12.415	341.5
2025-07-03T05:10	72.13425	18.43919	12.488	341.6
2025-07-03T05:20	72.16660	18.40353	12.341	341.3
2025-07-03T05:30	72.19913	18.36782	12.399	341.4
2025-07-03T05:40	72.23168	18.33212	12.406	341.5
2025-07-03T05:50	72.26404	18.29676	12.323	341.6
2025-07-03T06:00	72.29652	18.26104	12.375	341.5
2025-07-03T06:10	72.32867	18.22580	12.247	341.6
2025-07-03T06:20	72.36036	18.19078	12.076	341.5
2025-07-03T06:30	72.39262	18.15502	12.297	341.4
2025-07-03T06:40	72.42542	18.11845	12.507	341.4
2025-07-03T06:50	72.45846	18.08130	12.606	341.3
2025-07-03T07:00	72.49150	18.04418	12.604	341.3
2025-07-03T07:10	72.52420	18.00879	12.429	342.0
2025-07-03T07:20	72.55662	17.97261	12.354	341.5
2025-07-03T07:30	72.58906	17.93621	12.365	341.4
2025-07-03T07:40	72.62129	17.89979	12.293	341.3
2025-07-03T07:50	72.65367	17.86375	12.331	341.6
2025-07-03T08:00	72.68592	17.82737	12.293	341.4
2025-07-03T08:10	72.71876	17.79056	12.510	341.6
2025-07-03T08:20	72.75158	17.75340	12.510	341.4
2025-07-03T08:30	72.78442	17.71653	12.506	341.6
2025-07-03T08:40	72.81665	17.67935	12.307	341.2
2025-07-03T08:50	72.84929	17.64295	12.419	341.8
2025-07-03T09:00	72.88139	17.60612	12.245	341.3
2025-07-03T09:10	72.91347	17.56911	12.239	341.3
2025-07-03T09:20	72.94547	17.53327	12.175	341.8
2025-07-03T09:30	72.97784	17.49615	12.341	341.4
2025-07-03T09:40	73.01032	17.45905	12.374	341.5
2025-07-03T09:50	73.04260	17.42161	12.315	341.3
2025-07-03T10:00	73.07516	17.38423	12.408	341.5
2025-07-03T10:10	73.10764	17.34721	12.364	341.7
2025-07-03T10:20	73.14015	17.30926	12.406	341.3
2025-07-03T10:30	73.17280	17.27174	12.437	341.6
2025-07-03T10:40	73.20550	17.23366	12.467	341.4
2025-07-03T10:50	73.23853	17.19529	12.593	341.5
2025-07-03T11:00	73.27169	17.15645	12.644	341.4
2025-07-03T11:10	73.30519	17.11788	12.755	341.7
2025-07-03T11:20	73.33884	17.07888	12.815	341.6
2025-07-03T11:30	73.37258	17.03927	12.863	341.4
2025-07-03T11:40	73.40601	16.99988	12.750	341.4
2025-07-03T11:50	73.43925	16.96049	12.680	341.3
2025-07-03T12:00	73.47221	16.92190	12.555	341.6
2025-07-03T12:10	73.50465	16.88164	12.432	340.6
2025-07-03T12:20	73.53699	16.84124	12.399	340.5
2025-07-03T12:30	73.56917	16.80067	12.350	340.4
2025-07-03T12:40	73.60149	16.75976	12.403	340.3
2025-07-03T12:50	73.63376	16.71861	12.394	340.2
2025-07-03T13:00	73.66614	16.67742	12.429	340.3
2025-07-03T13:10	73.69867	16.63646	12.472	340.5
2025-07-03T13:20	73.73088	16.59565	12.355	340.4
2025-07-03T13:30	73.76298	16.55497	12.306	340.5
2025-07-03T13:40	73.79528	16.51358	12.399	340.3
2025-07-03T13:50	73.82794	16.47193	12.529	340.4
2025-07-03T14:00	73.86132	16.42840	12.833	340.1
2025-07-03T14:10	73.89496	16.38541	12.899	340.5
2025-07-03T14:20	73.92771	16.34323	12.566	340.4
2025-07-03T14:30	73.95993	16.30152	12.368	340.3
2025-07-03T14:40	73.99263	16.25924	12.547	340.4
2025-07-03T14:50	74.02518	16.21638	12.516	340.1
2025-07-03T15:00	74.05756	16.17199	12.507	339.4
2025-07-03T15:10	74.09002	16.12969	12.457	340.3
2025-07-03T15:20	74.12212	16.08772	12.323	340.3
2025-07-03T15:30	74.15404	16.04588	12.256	340.3
2025-07-03T15:40	74.18645	16.00332	12.442	340.3
2025-07-03T15:50	74.21925	15.96016	12.591	340.3
2025-07-03T16:00	74.25250	15.91604	12.774	340.2
2025-07-03T16:10	74.28522	15.87292	12.558	340.4
2025-07-03T16:20	74.31743	15.83055	12.356	340.4
2025-07-03T16:30	74.34970	15.78738	12.402	340.1
2025-07-03T16:40	74.38225	15.74405	12.498	340.3
2025-07-03T16:50	74.41459	15.70036	12.437	340.0
2025-07-03T17:00	74.44731	15.65631	12.572	340.1
2025-07-03T17:10	74.47963	15.61336	12.399	340.4
2025-07-03T17:20	74.51214	15.56997	12.477	340.4
2025-07-03T17:30	74.54440	15.52648	12.389	340.2
2025-07-03T17:40	74.57602	15.48399	12.138	340.3
2025-07-03T17:50	74.60774	15.44110	12.182	340.2
2025-07-03T18:00	74.63978	15.39818	12.289	340.5
2025-07-03T18:10	74.67162	15.35461	12.238	340.1
2025-07-03T18:20	74.70460	15.31012	12.656	340.4
2025-07-03T18:30	74.73808	15.26423	12.864	340.1
2025-07-03T18:40	74.77116	15.21866	12.718	340.1
2025-07-03T18:50	74.80434	15.17373	12.725	340.4
2025-07-03T19:00	74.83723	15.12850	12.636	340.2
2025-07-03T19:10	74.86959	15.08399	12.428	340.2
2025-07-03T19:20	74.90190	15.03923	12.416	340.1
2025-07-03T19:30	74.93412	14.99525	12.359	340.5
2025-07-03T19:40	74.96636	14.95091	12.370	340.4
2025-07-03T19:50	74.99838	14.90627	12.306	340.1
2025-07-03T20:00	75.03025	14.86206	12.240	340.3
2025-07-03T20:10	75.06206	14.81824	12.200	340.4
2025-07-03T20:20	75.09353	14.77345	12.114	339.9
2025-07-03T20:30	75.12544	14.72971	12.230	340.6
2025-07-03T20:40	75.15697	14.68539	12.114	340.2
2025-07-03T20:50	75.18840	14.64097	12.080	340.1
2025-07-03T21:00	75.22019	14.59679	12.191	340.5
2025-07-03T21:10	75.25213	14.55166	12.270	340.2
2025-07-03T21:20	75.28429	14.50643	12.347	340.3
2025-07-03T21:30	75.31689	14.46055	12.510	340.4
2025-07-03T21:40	75.34990	14.41342	12.688	340.1
2025-07-03T21:50	75.38338	14.36575	12.862	340.2
2025-07-03T22:00	75.41650	14.31856	12.718	340.3
2025-07-03T22:10	75.44932	14.27190	12.599	340.3
2025-07-03T22:20	75.48156	14.22546	12.390	340.1
2025-07-03T22:30	75.51327	14.17995	12.180	340.2
2025-07-03T22:40	75.54515	14.13449	12.232	340.4
2025-07-03T22:50	75.57707	14.08869	12.254	340.3
2025-07-03T23:00	75.60898	14.04268	12.253	340.3
2025-07-03T23:10	75.64092	13.99616	12.279	340.1
2025-07-03T23:20	75.67277	13.95003	12.231	340.3
2025-07-03T23:30	75.70458	13.90421	12.205	340.4
2025-07-03T23:40	75.73677	13.85751	12.359	340.3
2025-07-03T23:50	75.76907	13.80965	12.427	340.0
2025-07-04T00:00	75.80169	13.76251	12.512	340.5
2025-07-04T00:10	75.83451	13.71444	12.604	340.3
2025-07-04T00:20	75.86694	13.66616	12.474	340.0
2025-07-04T00:30	75.89862	13.61991	12.153	340.4
2025-07-04T00:40	75.93034	13.57369	12.167	340.5
2025-07-04T00:50	75.96224	13.52655	12.248	340.3
2025-07-04T01:00	75.99408	13.47936	12.232	340.3
2025-07-04T01:10	76.02608	13.43160	12.297	340.2
2025-07-04T01:20	76.05782	13.38433	12.188	340.2
2025-07-04T01:30	76.08972	13.33656	12.257	340.2
2025-07-04T01:40	76.12198	13.28835	12.389	340.3
2025-07-04T01:50	76.15421	13.24037	12.369	340.4
2025-07-04T02:00	76.18618	13.19207	12.286	340.2
2025-07-04T02:10	76.21774	13.14476	12.119	340.4
2025-07-04T02:20	76.24934	13.10058	12.036	341.6
2025-07-04T02:30	76.28135	13.05843	12.125	342.7
2025-07-04T02:40	76.31358	13.01693	12.180	343.1
2025-07-04T02:50	76.34627	12.97434	12.363	342.9
2025-07-04T03:00	76.37925	12.93120	12.474	342.9
2025-07-04T03:10	76.41236	12.88794	12.522	342.9
2025-07-04T03:20	76.44559	12.84461	12.562	343.0
2025-07-04T03:30	76.47906	12.80058	12.657	342.9
2025-07-04T03:40	76.51217	12.75720	12.517	343.0
2025-07-04T03:50	76.54542	12.71321	12.576	342.9
2025-07-04T04:00	76.57861	12.66918	12.556	342.9
